Population Name	Total Reads	Total Bases	Mean Coverage
TSB1 T1	24364765	3323779608	526.5825
TSB2 T1	25327433	3452968923	547.3727
TSB3 T1	16008108	2210226159	350.2359
TSB4 T1	22133246	3059902693	485.4923
TSB1 T7	16662999	2338996599	371.315
TSB2 T7	18510069	2581168727	409.2337
TSB3 T7	15146223	2081384514	329.6477
TSB4 T7	19085476	2700121896	425.8246
TSB1 T14	18584854	2564485641	406.7602
TSB2 T14	19253441	2719572675	430.8894
TSB3 T14	19742848	2628651079	416.3145
TSB4 T14	21989285	2884201122	455.8694
EDTA1 T1	23847587	3093162988	489.8851
EDTA2 T1	22336049	2981569585	472.8514
EDTA3 T1	17822531	2452455599	389.3704
EDTA4 T1	21043717	2851294712	452.4561
EDTA1 T7	18800677	2542136119	403.2927
EDTA2 T7	14103196	1884411901	298.1887
EDTA3 T7	22508334	3092572377	490.5866
EDTA4 T7	18357030	2526035767	400.3917
EDTA1 T14	13632000	1627681569	252.2935
EDTA2 T14	13888637	1901758449	301.2364
EDTA3 T14	16059025	2174916866	343.0627
EDTA4 T14	17386262	2085863303	327.4394
NAB1 T1	15048608	1939145980	307.1167
NAB2 T1	18562801	2446098245	387.6785
NAB3 T1	15593979	2030810280	321.8209
NAB4 T1	17888926	2389117127	378.6429
NAB1 T7	16541045	2147184730	339.873
NAB2 T7	15932043	2045898707	323.6445
NAB3 T7	22091177	3205559975	509.3418
NAB4 T7	14561916	1788093239	280.8207
NAB1 T14	16888309	2323662137	368.7436
NAB2 T14	22986019	3129174180	496.0847
NAB3 T14	16793877	2038571262	319.9535
NAB4 T14	16945581	2076814442	326.7612
NE1 T1	18912053	2588616749	410.1151
NE2 T1	22125861	3138229767	498.4904
NE3 T1	22878520	2850921460	451.6257
NE4 T1	16258460	2323713613	369.128
NE1 T7	19769262	2549827844	403.4646
NE2 T7	26403270	3644322225	578.363
NE3 T7	19124217	2586069106	409.9217
NE4 T7	19184358	2665843410	423.1295
NE1 T14	19802427	2708021744	429.2803
NE2 T14	18483044	2508168096	397.6739
NE3 T14	19556568	2639966100	418.2396
NE4 T14	21617191	2925797453	463.7942
PAO1 T0	55081259	7356324649	1164.638
